CarClass,MakeModel,ReviewScore,AvgPaidPrice,MpgCity,MpgHwy,IsLuxury,IsHybridOrElectric,IsSports
HYBRID SUVS,TOYOTA HIGHLANDER HYBRID,8.3,44294.5,29.0,27.0,False,True,False
HYBRID SUVS,TOYOTA RAV4 HYBRID,8.3,30458.0,41.0,38.0,False,True,False
HYBRID SUVS,CHRYSLER PACIFICA HYBRID,8.2,35549.5,,,False,True,False
HYBRID SUVS,KIA NIRO,7.8,23306.5,52.0,49.0,False,True,False
HYBRID SUVS,HYUNDAI KONA EV,7.7,32531.5,132.0,108.0,False,True,False
HYBRID SUVS,SUBARU CROSSTREK HYBRID,7.4,,,,False,True,False
HYBRID SUVS,NISSAN ROGUE HYBRID,7.3,24371.5,33.0,35.0,False,True,False
LUXURY HYBRID AND ELECTRIC SUVS,JAGUAR I-PACE,8.8,56726.0,80.0,72.0,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,PORSCHE CAYENNE HYBRID,8.3,,,,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,LEXUS RX HYBRID,8.2,46560.0,31.0,28.0,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,AUDI E-TRON,8.0,60853.0,74.0,73.0,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,LEXUS NX HYBRID,7.9,,33.0,30.0,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,ACURA MDX HYBRID,7.8,45580.5,26.0,27.0,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,LEXUS UX HYBRID,7.6,31759.0,41.0,38.0,True,True,False
LUXURY HYBRID AND ELECTRIC SUVS,TESLA MODEL X,7.5,104000.0,99.0,93.0,True,True,False
COMPACT TRUCKS,HONDA RIDGELINE,8.4,32558.0,19.0,26.0,False,False,False
COMPACT TRUCKS,TOYOTA TACOMA,8.1,34121.0,20.0,23.0,False,False,False
COMPACT TRUCKS,FORD RANGER,7.9,28764.0,21.0,26.0,False,False,False
COMPACT TRUCKS,CHEVROLET COLORADO,7.7,29658.5,20.0,26.0,False,False,False
COMPACT TRUCKS,GMC CANYON,7.7,29554.5,20.0,26.0,False,False,False
COMPACT TRUCKS,NISSAN FRONTIER,7.2,23489.5,17.0,22.0,False,False,False
FULL SIZE TRUCKS,FORD F-150,8.8,44119.0,19.0,25.0,False,False,False
FULL SIZE TRUCKS,RAM 1500,8.7,37287.5,20.0,25.0,False,False,False
FULL SIZE TRUCKS,CHEVROLET SILVERADO 1500,8.4,39652.5,20.0,23.0,False,False,False
FULL SIZE TRUCKS,GMC SIERRA 1500,7.8,44279.0,17.0,23.0,False,False,False
FULL SIZE TRUCKS,NISSAN TITAN,7.7,37784.0,15.0,21.0,False,False,False
FULL SIZE TRUCKS,TOYOTA TUNDRA,7.0,40008.5,15.0,19.0,False,False,False
MINIVANS,HONDA ODYSSEY,8.4,34359.0,19.0,28.0,False,False,False
MINIVANS,KIA SEDONA,8.1,28555.0,18.0,24.0,False,False,False
MINIVANS,TOYOTA SIENNA,8.1,33921.5,19.0,27.0,False,False,False
MINIVANS,CHRYSLER PACIFICA,7.9,28707.5,18.0,28.0,False,False,False
MINIVANS,DODGE GRAND CARAVAN,6.8,21234.5,17.0,25.0,False,False,False
