vin,year,make,model,trim,pricecategory,price,mileage,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,cartype,ReliabilityRank,CostOfLivingRank,CostOfLivingIndex,TransportationIndex,BrandPercentSales,BrandAvgDaysToTurn,CarClass,ReviewScore,AvgMPG
3FA6P0CD0KR233938,2019,FORD,FUSION,SEL FWD,EXCELLENT PRICE,10791,24686,HOLLYWOOD,FL,BLACK,BLACK,1,1,FLEET,Y,SEDAN,10.0,27,99.2,98.7,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
KNMAT2MT9KP537567,2019,NISSAN,ROGUE,SV FWD,EXCELLENT PRICE,14804,27162,FONTANA,CA,WHITE,BLACK,0,1,PERSONAL,Y,SUV,16.0,49,142.7,133.0,6.28802759768661,76.23076923076923,AFFORDABLE COMPACT SUVS,7.4,29.5
3FA6P0LU5KR117215,2019,FORD,FUSION,HYBRID SE FWD,EXCELLENT PRICE,15787,41596,WICHITA,KS,BLACK,GRAY,0,1,PERSONAL,Y,SEDAN,10.0,2,86.5,94.7,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE CARS,8.2,26.0
5YFEPRAE3LP023248,2020,TOYOTA,COROLLA,LE CVT,EXCELLENT PRICE,13785,19677,BOERNE,TX,RED,BLACK,0,1,PERSONAL,N,HATCHBACK,5.0,14,91.7,91.1,12.1872269830779,43.23076923076923,HATCHBACKS,7.9,32.0
5XXGT4L35KG331256,2019,KIA,OPTIMA,LX,EXCELLENT PRICE,14244,30306,MARINA DEL REY,CA,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,14.0,49,142.7,133.0,3.9890632445645786,73.38461538461539,AFFORDABLE MIDSIZE CARS,8.4,28.5
3N1AB7AP0KL626238,2019,NISSAN,SENTRA,SV CVT,EXCELLENT PRICE,10990,28600,CHANTILLY,VA,GRAY,BLACK,0,1,FLEET,Y,SEDAN,16.0,31,101.4,93.8,6.28802759768661,76.23076923076923,AFFORDABLE SMALL CARS,7.2,33.0
5YFEPRAE7LP011961,2020,TOYOTA,COROLLA,LE CVT,EXCELLENT PRICE,14500,14468,BOERNE,TX,SILVER,GRAY,0,1,PERSONAL,N,HATCHBACK,5.0,14,91.7,91.1,12.1872269830779,43.23076923076923,HATCHBACKS,7.9,32.0
1GAZGPFP8K1179779,2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,EXCELLENT PRICE,19402,35210,CONCORD,CA,WHITE,GRAY,0,1,PERSONAL,Y,VAN/MINIVAN,9.0,49,142.7,133.0,11.692583720044867,78.23076923076923,,,
1HGCR2F10HA294554,2017,HONDA,ACCORD,SPORT SPECIAL EDITION SEDAN CVT,EXCELLENT PRICE,16227,40599,SALISBURY,MD,WHITE,BLACK,0,1,PERSONAL,Y,SEDAN,18.0,45,128.0,102.1,8.336902292535045,48.69230769230769,AFFORDABLE MIDSIZE CARS,8.1,34.0
2C4RDGCGXKR600336,2019,DODGE,GRAND CARAVAN,SXT,EXCELLENT PRICE,18388,21902,CHEHALIS,WA,WHITE,BLACK,0,1,PERSONAL,Y,VAN/MINIVAN,25.0,39,112.2,118.6,2.126715603110482,98.53846153846153,MINIVANS,6.8,21.0
