yearmakemodel,price,milerange,location,hotcar,pricediff,timeonmkt,pricechange,trim,transmission,engine,drivetrain,VIN,fueltype,exteriorcol,interiorcol,condition,odometer,mpg,bodytype,heatedseats,leather,sunmoomroof,powerseat,premiumwheels
2020 Chevrolet Trax LS,$21175,0 Miles,Huntington NY,?,17%,70,+$4500,LS,Automatic,4 Cylinder Engine,FWD,KL7CJKSB0LB093581,?,Summit White,Black,New,0,?,Suv,False,False,False,False,True
2018 Nissan Rogue S,$19888,21k Miles,Long Island City NY,?,7%,74,+$3000,S,Automatic,2.5L I4 DOHC 16V,FWD,5N1AT2MT7JC760384,?,Magnetic Black,Charcoal,Used,20913,?,Suv,False,False,False,False,False
2020 Chevrolet Traverse LT Leather,$45110,Mileage Unknown,Little Falls NJ,?,15%,20,$0,LT Leather,Automatic,3.6L V6 SIDI VVT,4WD,1GNEVHKW3LJ281384,?,Graphite Metallic,Jet Black,New,?,?,Suv,True,True,True,True,True
2019 BMW 8 Series M850i xDrive Coupe,$79950,9k Miles,Bronx NY,Hot Car,16%,20,-$7000,M850i xDrive Coupe,Automatic,?,AWD,WBABC4C5XKBU95388,?,Black,?,Used,9318,?,Coupe,True,True,False,True,False
2020 Ram Pickup 1500 LARAMIE CREW CAB 4X4 5'7 BOX,$55640,2 Miles,Nanuet NY,?,21%,25,$0,LARAMIE CREW CAB 4X4 5'7 BOX,Automatic,5.7L V8 HEMI MDS VVT eTorque Engine5.7L,4WD,1C6SRFJT8LN350341,?,Diamond Black Crystal Pearlcoat,?,New,2,?,Pickup_truck,True,True,False,True,False
2017 Dodge Challenger SRT Hellcat,$54900,4k Miles,Amityville NY,Hot Car,1%,67,$0,SRT Hellcat,Manual,6.2L,RWD,2C3CDZC93HH539210,?,Pitch Black Clearcoat,Black,Used,4386,?,Coupe,True,True,False,True,False
2020 Chevrolet Equinox LT,$28034,0 Miles,Huntington NY,?,9%,15,+$750,LT,Automatic,4 Cylinder Engine,FWD,3GNAXKEV1LL312486,?,Mosaic Black Metallic,Jet Black,New,0,?,Suv,True,True,False,True,True
2017 Infiniti Q50 3.0t Signature Edition,$22995,37k Miles,Bronx NY,?,2%,5,$0,3.0t Signature Edition,Automatic,3.0L V6 Turbocharged DOHC 24V ULEV II 300hp,AWD,JN1EV7AR6HM837209,?,Black Obsidian,Graphite,Used,37300,?,Sedan,False,True,True,True,False
2020 Chevrolet Trax LT,$24226,0 Miles,Huntington NY,?,17%,15,+$1000,LT,Automatic,4 Cylinder Engine,AWD,3GNCJPSBXLL310110,?,Summit White,Jet Black,New,0,?,Suv,False,False,False,False,True
2016 Hyundai Veloster Turbo 3dr Cpe Auto Turbo w/Orange Accent,$13900,32k Miles,Newark NJ,Hot Car,7%,42,-$749,3dr Cpe Auto Turbo w/Orange Accent,Automatic,1.6L 16-Valve Twinscroll Turbo I4 GDI DOHC -inc: Dual Continuously Variable Valve Timing (D-CVVT) aluminum block and head full engine cover and hood insulator,FWD,KMHTC6AE2GU302163,?,Black,Black,Used,32422,?,Coupe,False,True,False,False,False
2017 Volkswagen Jetta GLI,$17995,33k Miles,Bronx NY,?,33%,31,$0,GLI,Manual,2.0L I4 TSI Turbocharged,FWD,3VW5T7AJXHM340338,?,White,?,Used,33335,?,Sedan,True,True,True,True,True
2011 Chevrolet Silverado 1500 LT,$17995,51k Miles,Freeport NY,?,21%,12,-$1000,LT,Automatic,5.3L V8,4WD,1GCRKSE3XBZ407662,?,Sheer Silver Metallic,Ebony W/leather Appointed Front Seat Trim,Used,50675,?,Pickup_truck,False,False,False,True,False
2013 Volvo S60 T5 Premier,$9999,95k Miles,East Hanover NJ,Hot Car,8%,58,$0,T5 Premier,Automatic,2.5L I5 20V Turbocharged,FWD,YV1612FS2D1215434,?,Electric Silver Metallic,Soft Beige,Used,94991,?,Sedan,True,True,True,True,True
2019 Jeep Cherokee Latitude Plus,$20900,15k Miles,Bronx NY,?,4%,19,-$100,Latitude Plus,Automatic,2.4L I4,4WD,1C4PJMLB9KD438513,?,Diamond Black Crystal Pearlcoat,Black,Certified pre-owned,14831,?,Suv,True,True,False,True,True
