year,make,model,trim,odometer,state,colorexterior,colorinterior,accidenthist,owner,usage,price
2019,NISSAN,ROGUE,SV FWD,31983,FL,GRAY,BLACK,Y,1,PERSONAL,17453
2013,TOYOTA,COROLLA,LE AUTOMATIC,127355,NC,WHITE,GRAY,N,2,PERSONAL,6288
2019,CHEVROLET,MALIBU,LT WITH 1LT,30875,LA,SILVER,BLACK,N,1,PERSONAL,15593
2019,NISSAN,SENTRA,S CVT,25731,NM,BLACK,BLACK,N,1,PERSONAL,12891
2014,BMW,3 SERIES,335I SEDAN,91564,IL,BLACK,BLACK,Y,2,PERSONAL,12577
2017,LEXUS,RX,RX 350 FWD,31769,CA,GRAY,BLACK,N,1,PERSONAL,28200
2019,NISSAN,ROGUE,SV FWD,31714,FL,SILVER,BLACK,N,1,PERSONAL,14994
2019,NISSAN,ROGUE,SV FWD,38678,FL,SILVER,BLACK,N,1,PERSONAL,16409
2019,NISSAN,ALTIMA,SL FWD,28499,WI,BLACK,BLACK,N,1,PERSONAL,21700
2019,NISSAN,PATHFINDER,SV FWD,30040,IL,SILVER,BLACK,N,1,PERSONAL,20797
2018,NISSAN,SENTRA,S CVT,55755,TN,SILVER,BLACK,N,2,PERSONAL,10830
2004,CHEVROLET,AVALANCHE,1500 2WD,192468,TX,SILVER,BLACK,N,3,PERSONAL,4998
2019,TOYOTA,CAMRY,LE AUTOMATIC,37525,CA,BLACK,UNKNOWN,N,1,PERSONAL,15328
2019,CHRYSLER,300,LIMITED RWD,37486,GA,GRAY,BLACK,N,1,PERSONAL,19440
2016,NISSAN,ALTIMA,2.5 S,86968,TN,BLACK,BLACK,N,3,FLEET,8995
2010,HONDA,PILOT,EX-L FWD,177102,AZ,BLUE,GRAY,N,5,PERSONAL,4411
2017,MERCEDES-BENZ,CCLASS,C 300 4MATIC SEDAN,48803,NJ,WHITE,UNKNOWN,N,2,PERSONAL,21981
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,34219,FL,BLACK,GRAY,Y,1,PERSONAL,10991
2007,GMC,SIERRA 1500,DENALI CREW CAB SHORT BOX 4WD AUTOMATIC,184538,SD,BLACK,BROWN,N,3,PERSONAL,9000
2017,NISSAN,SENTRA,SV CVT,40988,OH,SILVER,BLACK,N,1,PERSONAL,10302
2019,DODGE,GRAND CARAVAN,SXT,6253,TX,SILVER,BLACK,N,1,PERSONAL,19999
2019,TOYOTA,CAMRY,LE AUTOMATIC,26825,TX,WHITE,GRAY,N,1,PERSONAL,16534
2019,NISSAN,ALTIMA,S FWD,16650,CA,SILVER,BLACK,N,1,PERSONAL,17500
2019,FORD,MUSTANG,ECOBOOST PREMIUM CONVERTIBLE,26150,IN,BLACK,BLACK,Y,1,FLEET,22000
2011,FORD,FUSION,SEL AWD,171654,CO,WHITE,UNKNOWN,N,2,FLEET,4988
2017,NISSAN,ROGUE,SV FWD,35509,AZ,WHITE,BLACK,N,1,PERSONAL,13999
2019,CHEVROLET,SUBURBAN,LT 4WD,37532,MA,BLACK,BLACK,N,1,PERSONAL,38500
2011,LEXUS,RX,RX 350 FWD,107271,CA,BLACK,BLACK,N,3,PERSONAL,10500
2003,ACURA,TL,3.2L,102833,TX,BLACK,BEIGE,N,2,PERSONAL,4929
2019,NISSAN,FRONTIER,SL CREW CAB 2WD AUTOMATIC,6090,CA,WHITE,GRAY,N,1,FLEET,25484
2014,CHEVROLET,SILVERADO 1500,LT WITH 1LT REGULAR CAB STANDARD BOX 2WD,50471,WA,BLACK,BLACK,N,1,PERSONAL,21105
2019,KIA,SOUL,#NAME?,29187,IL,SILVER,BLACK,N,1,PERSONAL,14712
2019,TOYOTA,4RUNNER,SR5 4WD,30705,PA,GRAY,UNKNOWN,N,1,PERSONAL,32894
2019,CHRYSLER,300,LIMITED RWD,8790,FL,GRAY,BLACK,N,1,PERSONAL,23990
2019,KIA,OPTIMA,LX,30781,HI,BLACK,BLACK,N,1,PERSONAL,15899
2020,TOYOTA,COROLLA,LE CVT,13233,VA,UNKNOWN,UNKNOWN,N,1,PERSONAL,15500
2019,KIA,SOUL,#NAME?,28105,GA,BLACK,BLACK,Y,1,PERSONAL,12877
2013,HYUNDAI,SONATA,GLS 2.4L (PZEV),118377,CA,GRAY,GRAY,N,2,FLEET,5995
2019,NISSAN,VERSA,SV SEDAN CVT,36538,VA,BLUE,BLACK,N,1,PERSONAL,11600
2017,HONDA,ACCORD,LX SEDAN CVT,38899,NY,BLUE,GRAY,N,1,PERSONAL,12995
2019,DODGE,JOURNEY,GT AWD,29250,MN,SILVER,RED,N,1,FLEET,18497
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 4WD",19428,AR,BLACK,BLACK,N,1,PERSONAL,30662
2019,HYUNDAI,TUCSON,SE FWD,35745,FL,GRAY,BLACK,N,1,PERSONAL,14217
2019,DODGE,GRAND CARAVAN,SXT,40870,FL,SILVER,BLACK,N,1,PERSONAL,15999
2014,HONDA,PILOT,TOURING WITH NAVIGATION/REAR ENTERTAINMENT SYSTEM 4WD,110735,CA,WHITE,UNKNOWN,N,2,PERSONAL,14890
2014,NISSAN,SENTRA,SV CVT,64558,FL,BLACK,BLACK,N,7,PERSONAL,4975
2019,KIA,OPTIMA,LX,20578,TX,WHITE,BLACK,N,1,PERSONAL,15990
2015,HYUNDAI,ELANTRA,SE SEDAN AUTOMATIC,144510,VA,BLUE,BLACK,N,1,PERSONAL,6900
2018,KIA,SOUL,#NAME?,67708,CA,BLUE,BLACK,N,3,PERSONAL,9995
2019,TOYOTA,CAMRY,L AUTOMATIC,18153,TN,WHITE,GRAY,N,1,PERSONAL,19777
2013,FORD,ESCAPE,SE FWD,125300,FL,WHITE,GRAY,N,2,FLEET,6495
2019,DODGE,JOURNEY,GT AWD,31926,TX,WHITE,BLACK,N,1,PERSONAL,18349
2019,NISSAN,ROGUE,SV FWD,39561,TX,GRAY,BLACK,N,1,PERSONAL,17000
2019,DODGE,JOURNEY,GT AWD,36052,MO,GRAY,BLACK,N,2,PERSONAL,18999
2019,CHRYSLER,300,S RWD,43176,LA,GRAY,BLACK,Y,1,PERSONAL,17913
2019,NISSAN,PATHFINDER,SV FWD,25318,CA,SILVER,BLACK,N,1,PERSONAL,19806
2019,HYUNDAI,ELANTRA,SE 2.0L AUTOMATIC,20383,TX,BLACK,GRAY,N,1,PERSONAL,12990
2008,CADILLAC,ESCALADE EXT,AWD,195207,FL,BLACK,BLACK,Y,5,PERSONAL,10944
2019,NISSAN,ROGUE,SL FWD,30603,SC,BLACK,BLACK,N,1,PERSONAL,17980
2014,VOLKSWAGEN,PASSAT,TDI SEL PREMIUM SEDAN DSG,46627,AZ,WHITE,UNKNOWN,N,2,PERSONAL,13613
2019,KIA,SOUL,#NAME?,30935,MS,RED,BLACK,Y,1,PERSONAL,12972
2004,FORD,F150,LARIAT SUPERCAB 5.5' BOX 4WD,219536,TN,BLUE,BEIGE,N,9,PERSONAL,5960
2017,NISSAN,ROGUE,SV FWD,34530,AZ,WHITE,BLACK,N,1,PERSONAL,12999
2019,NISSAN,ROGUE,SV FWD,33032,OH,BLUE,BLACK,N,1,PERSONAL,16900
2017,NISSAN,ROGUE,2017.5 SV AWD,111111,NJ,WHITE,BLACK,N,1,PERSONAL,12749
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ALT),95035,FL,SILVER,GRAY,N,2,PERSONAL,7995
2018,NISSAN,NV200 COMPACT CARGO,SV,86424,FL,WHITE,GRAY,N,1,PERSONAL,11451
2019,JEEP,COMPASS,TRAILHAWK 4WD,16916,NV,SILVER,BLACK,N,1,PERSONAL,21991
2017,MAZDA,CX5,GRAND TOURING AWD,34484,TN,WHITE,BLACK,N,1,PERSONAL,21512
2019,GMC,YUKON,XL SLT 4WD,37569,TX,BLACK,BLACK,N,1,FLEET,40990
2019,JEEP,GRAND CHEROKEE,LIMITED 4WD,26975,CA,BLACK,BLACK,N,1,PERSONAL,29389
2014,VOLKSWAGEN,PASSAT,TDI SEL PREMIUM SEDAN DSG,58229,IL,RED,BLACK,N,1,PERSONAL,11490
2017,HONDA,ACCORD,LX SEDAN CVT,117049,NY,BROWN,BLACK,Y,1,PERSONAL,10282
2019,JEEP,COMPASS,TRAILHAWK 4WD,35586,CO,WHITE,BLACK,N,1,FLEET,21970
2019,TOYOTA,CAMRY,LE AUTOMATIC,29692,CO,WHITE,BLACK,N,1,PERSONAL,16999
2012,HONDA,CIVIC,LX SEDAN AUTOMATIC,89458,WA,SILVER,GRAY,Y,2,PERSONAL,8495
2019,DODGE,GRAND CARAVAN,SXT,15732,FL,SILVER,BLACK,Y,1,PERSONAL,15998
2019,NISSAN,SENTRA,SV CVT,32564,CA,GRAY,BLACK,N,1,PERSONAL,11999
2017,MERCEDES-BENZ,CCLASS,C 300 CABRIOLET RWD,34588,TX,BLACK,BROWN,Y,1,PERSONAL,30933
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,34146,OK,WHITE,GRAY,N,1,PERSONAL,23708
2019,CHRYSLER,300,LIMITED RWD,8699,FL,GRAY,BLACK,N,1,PERSONAL,23990
2017,LEXUS,RX,RX 350 FWD,37605,TX,SILVER,BLACK,N,1,PERSONAL,30999
2011,FORD,F150,FX4 SUPERCREW 5.5' BOX 4WD,37053,CA,WHITE,UNKNOWN,N,0,PERSONAL,16999
2009,PORSCHE,CAYENNE,S AWD,90767,TN,BLACK,BLACK,N,3,PERSONAL,9500
2019,KIA,OPTIMA,LX,28173,FL,WHITE,BLACK,N,1,PERSONAL,14700
1998,BUICK,LESABRE,LIMITED,97787,IN,WHITE,BEIGE,N,3,PERSONAL,2800
2017,HYUNDAI,ELANTRA,VALUE EDITION 2.0L SEDAN AUTOMATIC,8025,CO,RED,BEIGE,N,1,PERSONAL,12995
2019,CHRYSLER,300,LIMITED AWD,12463,FL,WHITE,BLACK,N,1,PERSONAL,25997
2010,TOYOTA,COROLLA,LE AUTOMATIC,144333,CA,GRAY,GRAY,N,2,PERSONAL,6495
2011,MINI,HARDTOP,S HARDTOP 2-DOOR,102842,CA,WHITE,BLACK,N,1,PERSONAL,7688
2012,HONDA,CIVIC,EX-L SEDAN AUTOMATIC,102170,FL,BLACK,GRAY,Y,3,PERSONAL,6991
2008,CHEVROLET,IMPALA,LS,181700,WA,GRAY,GRAY,N,3,FLEET,2785
2019,HYUNDAI,ACCENT,SE AUTOMATIC,7341,FL,BLACK,BEIGE,N,1,PERSONAL,12329
2019,MERCEDES-BENZ,SPRINTER CHASSIS CABS,"4500 170""",8,NC,WHITE,UNKNOWN,N,0,PERSONAL,29995
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 4WD",23695,TX,GRAY,BLACK,Y,1,PERSONAL,27995
2015,NISSAN,VERSA,NOTE 1.6 SV CVT,103700,NC,WHITE,BLACK,N,2,PERSONAL,5295
2012,FORD,FOCUS,SE SEDAN,103706,MD,BLACK,GRAY,N,1,PERSONAL,4990
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 4WD",18734,AK,GRAY,BLACK,N,1,PERSONAL,28995
2014,VOLKSWAGEN,PASSAT,TDI SEL PREMIUM SEDAN DSG,88367,MN,BLACK,BLACK,N,1,PERSONAL,10000
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,36395,FL,SILVER,GRAY,N,1,PERSONAL,12391
2019,NISSAN,ROGUE,SV FWD,34839,CA,BLACK,BLACK,N,1,PERSONAL,15898
2019,NISSAN,PATHFINDER,SV FWD,21357,TX,SILVER,BLACK,N,1,PERSONAL,21236
2019,TOYOTA,SEQUOIA,SR5 4WD,2365,TX,WHITE,GRAY,N,1,PERSONAL,37991
2019,TOYOTA,SEQUOIA,SR5 4WD,1830,TX,WHITE,GRAY,N,1,PERSONAL,37991
2019,KIA,OPTIMA,LX,13782,TX,WHITE,BLACK,N,1,PERSONAL,15994
2012,TOYOTA,RAV4,I4 4WD,49909,CO,SILVER,GRAY,N,1,PERSONAL,12192
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,38106,TX,GRAY,GRAY,N,1,PERSONAL,12890
2013,FORD,ECONOLINE COMMERCIAL CUTAWAY,"E-450 158"" DRW",13008,NY,WHITE,GRAY,N,0,PERSONAL,23000
2014,HONDA,CIVIC,LX SEDAN CVT,98458,NY,WHITE,UNKNOWN,N,1,PERSONAL,8495
2019,KIA,OPTIMA,LX,36443,FL,SILVER,BLACK,N,1,PERSONAL,12999
2008,HONDA,CIVIC,LX SEDAN AUTOMATIC,173950,CT,TAN,GRAY,N,2,FLEET,2495
2019,NISSAN,SENTRA,SV CVT,39250,MI,SILVER,BLACK,N,1,PERSONAL,11990
2019,HYUNDAI,TUCSON,SE FWD,20547,CA,SILVER,GRAY,N,1,PERSONAL,14999
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC,26444,FL,BLACK,GRAY,N,1,PERSONAL,10995
2017,HONDA,ACCORD,HYBRID EX-L SEDAN,18200,SC,BLACK,BLACK,N,1,PERSONAL,19955
2019,NISSAN,VERSA,SV SEDAN CVT,35682,VA,RED,BLACK,N,2,PERSONAL,11600
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,20699,FL,WHITE,GRAY,N,1,PERSONAL,22449
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,18237,NC,SILVER,GRAY,N,1,PERSONAL,14988
2020,TOYOTA,COROLLA,LE CVT,4350,FL,SILVER,GRAY,N,1,PERSONAL,16494
2019,NISSAN,SENTRA,SV CVT,28577,FL,SILVER,BLACK,N,1,PERSONAL,12985
2015,GMC,SIERRA 1500,"2WD REG CAB 133.0""",89045,IN,WHITE,BLACK,N,3,FLEET,12900
2019,NISSAN,ROGUE,SV FWD,30438,CA,SILVER,BLACK,N,1,PERSONAL,15998
2017,NISSAN,SENTRA,SR CVT,35324,NC,BLACK,BLACK,N,1,PERSONAL,11995
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 2WD",12087,NV,SILVER,BLACK,N,0,FLEET,26990
2019,NISSAN,VERSA,SV SEDAN CVT,34690,IA,WHITE,BLACK,N,1,PERSONAL,10986
2017,HYUNDAI,ELANTRA,VALUE EDITION 2.0L SEDAN AUTOMATIC,27854,WA,WHITE,BLACK,N,1,PERSONAL,13573
2009,ACURA,TL,FWD,150807,KS,GRAY,BLACK,N,3,FLEET,6499
2014,HONDA,CRV,LX FWD,29941,AZ,BLACK,GRAY,N,1,PERSONAL,8900
2019,NISSAN,SENTRA,S CVT,30577,AZ,GRAY,BLACK,N,1,PERSONAL,11990
2014,MERCEDES-BENZ,GL,GL 450 4MATIC,73563,MA,WHITE,BEIGE,N,2,PERSONAL,25318
2014,VOLKSWAGEN,PASSAT,TDI SE WITH SUNROOF SEDAN DSG,48364,IL,BLACK,BEIGE,N,2,PERSONAL,10990
2012,NISSAN,ALTIMA,2.5 S SEDAN CVT,183961,TX,GRAY,BEIGE,N,4,PERSONAL,3750
2019,DODGE,CHARGER,SXT RWD,27744,OH,GRAY,BLACK,N,1,PERSONAL,19266
2017,MERCEDES-BENZ,CCLASS,C 300 SEDAN RWD,49787,TX,BLACK,BLACK,N,1,PERSONAL,20998
2017,MERCEDES-BENZ,CCLASS,C 300 SEDAN RWD,35085,TX,BLACK,BLACK,N,1,PERSONAL,19407
2018,TOYOTA,YARIS IA,AUTOMATIC,23300,AK,SILVER,UNKNOWN,N,1,PERSONAL,11995
2019,NISSAN,ALTIMA,S FWD,25845,CA,GRAY,BLACK,N,1,PERSONAL,16900
2014,LEXUS,ES,ES 350,61092,OK,BLACK,UNKNOWN,N,2,FLEET,15780
2019,FORD,MUSTANG,ECOBOOST PREMIUM CONVERTIBLE,30220,CA,SILVER,BLACK,N,1,PERSONAL,22691
2009,HONDA,FIT,SPORT AUTOMATIC,181530,AZ,BLACK,BLACK,N,3,PERSONAL,3995
2001,TOYOTA,LAND CRUISER,4WD,283153,SC,BLACK,UNKNOWN,N,2,PERSONAL,6995
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,40813,NC,BLACK,GRAY,N,1,PERSONAL,22555
2017,HONDA,ACCORD,LX SEDAN CVT,29504,TX,SILVER,UNKNOWN,N,2,FLEET,15231
2012,HONDA,CIVIC,LX SEDAN AUTOMATIC,139257,NC,GRAY,GRAY,Y,1,PERSONAL,6500
2008,BUICK,LUCERNE,CXL V6,181256,OK,WHITE,BROWN,N,3,PERSONAL,2435
2019,FORD,FUSION,HYBRID SE FWD,43410,TX,SILVER,BLACK,N,1,PERSONAL,14995
2019,CHRYSLER,300,LIMITED RWD,31340,MO,GRAY,BLACK,N,1,PERSONAL,21794
2019,TOYOTA,CAMRY,LE AUTOMATIC,19489,TX,SILVER,BLACK,N,1,PERSONAL,15587
2019,CHEVROLET,IMPALA,LT WITH 1LT,36705,TN,BLACK,BLACK,N,1,PERSONAL,17599
2017,MERCEDES-BENZ,GLS,GLS 450 4MATIC,40019,WA,SILVER,BLACK,N,2,PERSONAL,38800
2019,FORD,FUSION,TITANIUM FWD,17691,VA,SILVER,UNKNOWN,N,1,PERSONAL,19950
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ALT),68070,AZ,GRAY,GRAY,N,2,PERSONAL,7999
2019,KIA,SOUL,#NAME?,16836,FL,WHITE,BLACK,N,1,PERSONAL,14491
2019,GMC,TERRAIN,SLT FWD,43808,LA,SILVER,BLACK,N,1,PERSONAL,17889
2017,RAM,1500,"NIGHT CREW CAB 5'7"" BOX 2WD",113183,TX,WHITE,BLACK,N,2,PERSONAL,17899
2018,MERCEDES-BENZ,GLA,GLA 250 4MATIC,10353,AZ,BLACK,BLACK,N,1,PERSONAL,25681
2019,NISSAN,VERSA,SV SEDAN CVT,20242,WA,SILVER,BLACK,N,1,PERSONAL,10900
2003,TOYOTA,CAMRY,SE V6 VVTI AUTOMATIC,145787,IL,BLACK,GRAY,N,4,PERSONAL,3950
2019,NISSAN,ROGUE,SV FWD,33787,NM,BLACK,BLACK,N,1,PERSONAL,18999
2003,GMC,ENVOY,SLT 4WD,168616,OR,GRAY,GRAY,N,5,PERSONAL,4400
2019,CHEVROLET,TAHOE,LT 4WD,33602,CA,BLACK,BLACK,Y,1,PERSONAL,40800
2019,DODGE,JOURNEY,CROSSROAD FWD,14364,FL,WHITE,BLACK,N,1,PERSONAL,18944
2014,VOLKSWAGEN,PASSAT,TDI SEL PREMIUM SEDAN DSG,38495,WA,BLACK,BEIGE,N,1,PERSONAL,14521
2019,FORD,FIESTA,SE HATCHBACK,19629,AL,SILVER,UNKNOWN,N,1,PERSONAL,12492
2019,NISSAN,ROGUE,SV FWD,34684,TX,SILVER,BLACK,N,1,PERSONAL,15973
2014,CHRYSLER,TOWN & COUNTRY,TOURING,90830,FL,WHITE,BEIGE,N,2,PERSONAL,8995
2017,MERCEDES-BENZ,GLS,GLS 450 4MATIC,83485,CA,WHITE,BLACK,N,1,PERSONAL,32900
2019,TOYOTA,CAMRY,LE AUTOMATIC,28629,FL,WHITE,BLACK,N,1,PERSONAL,16998
2017,MERCEDES-BENZ,CCLASS,C 300 SEDAN RWD,17630,CA,GRAY,BLACK,N,1,PERSONAL,20990
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,38343,TN,RED,GRAY,N,1,PERSONAL,13850
2015,NISSAN,ALTIMA,2.5 S,75773,MA,BLACK,BLACK,N,2,FLEET,9275
2014,NISSAN,SENTRA,S CVT,93347,TX,GRAY,BLACK,N,3,PERSONAL,6000
2007,HONDA,CIVIC,SI COUPE MANUAL,85239,ID,BLACK,BLACK,Y,1,PERSONAL,6999
2019,FORD,MUSTANG,ECOBOOST PREMIUM CONVERTIBLE,22872,MO,SILVER,BLACK,N,1,PERSONAL,22700
2019,NISSAN,ROGUE,SV FWD,30301,SC,GRAY,BLACK,N,1,PERSONAL,17980
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 4WD",29392,TX,RED,BLACK,N,1,PERSONAL,25875
2019,CHRYSLER,300,LIMITED RWD,23621,CA,GRAY,BLACK,N,1,PERSONAL,21496
2013,NISSAN,ALTIMA,2.5 S COUPE,110450,FL,BLACK,BLACK,N,8,PERSONAL,5000
2019,CHRYSLER,300,LIMITED AWD,13971,IL,WHITE,BLACK,N,1,PERSONAL,27750
2017,HYUNDAI,ELANTRA,VALUE EDITION 2.0L SEDAN AUTOMATIC (ULSAN),24691,NJ,GRAY,BLACK,N,1,PERSONAL,12980
2017,MERCEDES-BENZ,GLE,GLE 350 4MATIC SUV,30202,OH,BLACK,BLACK,N,1,PERSONAL,33326
2015,TOYOTA,COROLLA,LE CVT,47957,NC,RED,BLACK,N,1,PERSONAL,9999
2019,NISSAN,ROGUE,SV FWD,31897,SC,SILVER,BLACK,N,1,PERSONAL,17980
2019,NISSAN,ROGUE,SV FWD,30603,SC,SILVER,BLACK,N,1,PERSONAL,17980
2015,NISSAN,SENTRA,SV CVT,133655,VA,SILVER,BLACK,N,1,PERSONAL,5988
2017,NISSAN,ROGUE,SV AWD,43164,TX,BLUE,BLACK,N,1,PERSONAL,13999
2019,TOYOTA,CAMRY,SE AUTOMATIC,28399,TX,WHITE,UNKNOWN,N,1,PERSONAL,19671
2019,CHRYSLER,300,LIMITED RWD,26794,CA,RED,BLACK,N,1,FLEET,21548
2020,TOYOTA,COROLLA,LE CVT,23650,FL,SILVER,BLACK,N,1,PERSONAL,13798
2019,NISSAN,VERSA,SV SEDAN CVT,32729,VA,BLACK,BLACK,N,1,PERSONAL,11500
2019,VOLKSWAGEN,JETTA,SÂ AUTOMATIC,20147,CO,BLACK,BLACK,N,1,FLEET,13997
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,15340,WA,WHITE,GRAY,N,1,PERSONAL,23997
2017,MERCEDES-BENZ,ECLASS,E 300 SPORT 4MATIC SEDAN,35374,CA,BLACK,BLACK,N,1,PERSONAL,31500
2015,RAM,1500,"TRADESMAN REGULAR CAB 6'4"" BOX 2WD",49839,TX,WHITE,GRAY,N,2,PERSONAL,14500
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ULSAN),44419,TX,BLACK,BEIGE,N,1,FLEET,12990
2014,VOLKSWAGEN,PASSAT,TDI SE WITH SUNROOF SEDAN DSG,97185,VA,GRAY,BLACK,N,2,PERSONAL,9500
2011,FORD,FUSION,HYBRID FWD,107847,AZ,BLUE,UNKNOWN,N,1,PERSONAL,5699
2019,NISSAN,ROGUE,SV FWD,40288,TX,GRAY,BLACK,N,1,FLEET,16791
2019,CHEVROLET,MALIBU,LT WITH 1LT,30971,CA,WHITE,BLACK,N,1,PERSONAL,15476
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,36836,TX,WHITE,GRAY,N,1,FLEET,23000
2019,CHEVROLET,IMPALA,LT WITH 1LT,28556,LA,WHITE,BLACK,N,1,PERSONAL,16775
2019,NISSAN,ARMADA,SL RWD,32315,TX,BLACK,BLACK,N,1,PERSONAL,32770
2019,FORD,FUSION,TITANIUM AWD,30263,AR,WHITE,BLACK,N,1,PERSONAL,20499
2016,NISSAN,ALTIMA,2.5 S,80244,GA,WHITE,BLACK,Y,2,FLEET,10448
2017,HONDA,ACCORD,SPORT SPECIAL EDITION SEDAN CVT,86000,MD,GRAY,UNKNOWN,N,1,PERSONAL,14471
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 2WD",9128,FL,BLACK,BLACK,N,1,PERSONAL,29520
2018,MERCEDES-BENZ,GLA,GLA 250 4MATIC,20043,OR,WHITE,BLACK,N,1,FLEET,25995
2020,MERCEDES-BENZ,GLC,GLC 300 SUV RWD,9326,TX,SILVER,BLACK,N,0,PERSONAL,39988
2014,CHEVROLET,CRUZE,LT WITH 1LT AUTOMATIC,65200,TX,RED,BLACK,N,3,PERSONAL,6980
2010,FORD,ESCAPE,LIMITED FWD,156379,NJ,BLUE,BLACK,Y,2,PERSONAL,4495
2017,LEXUS,RX,RX 350 FWD,48250,CA,GRAY,GRAY,N,1,PERSONAL,29145
2020,TOYOTA,COROLLA,LE CVT,22894,AL,WHITE,UNKNOWN,N,1,PERSONAL,16848
2008,INFINITI,QX56,4WD,201000,NC,BLACK,UNKNOWN,N,5,PERSONAL,5300
2013,RAM,1500,"EXPRESS CREW CAB 5'7"" BOX 4WD",180586,FL,BLACK,BLACK,N,1,PERSONAL,12788
2019,KIA,OPTIMA,LX,42416,CT,SILVER,BLACK,N,1,PERSONAL,13995
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 4WD",14565,AR,RED,BLACK,N,1,PERSONAL,30259
2019,TOYOTA,CAMRY,SE AUTOMATIC,36663,TX,WHITE,BLACK,N,1,FLEET,18000
2019,KIA,SOUL,#NAME?,40705,FL,WHITE,BLACK,N,1,PERSONAL,11849
2019,KIA,SOUL,#NAME?,28019,CT,WHITE,BLACK,N,1,PERSONAL,14500
2019,DODGE,JOURNEY,GT FWD,30334,LA,BLACK,RED,N,1,FLEET,17495
2014,NISSAN,FRONTIER,S KING CAB I4 2WD AUTO,98271,TX,WHITE,UNKNOWN,N,2,FLEET,8999
2017,NISSAN,ROGUE,2017.5 SV AWD,35626,NY,BLACK,BLACK,N,1,FLEET,13990
2013,HYUNDAI,SONATA,GLS 2.4L (PZEV),96038,MA,WHITE,BROWN,N,1,PERSONAL,6995
2015,TOYOTA,COROLLA,LE ECO CVT,259559,CO,WHITE,BEIGE,N,1,PERSONAL,5597
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ALT),20685,OH,SILVER,GRAY,N,1,PERSONAL,12181
2017,HYUNDAI,ELANTRA,SE 2.0L SEDAN AUTOMATIC (ULSAN),42263,OR,SILVER,GRAY,Y,3,PERSONAL,6750
2006,ACURA,MDX,WITH TOURING,145755,UT,SILVER,GRAY,N,4,PERSONAL,3650
2013,HYUNDAI,ELANTRA,GLS SEDAN AUTOMATIC,81308,TX,WHITE,BEIGE,N,1,PERSONAL,7988
2008,FORD,ESCAPE,XLS I4 MANUAL FWD,141344,IA,WHITE,GRAY,N,5,FLEET,3700
2019,CHEVROLET,TAHOE,PREMIER 4WD,12838,LA,WHITE,BLACK,N,1,PERSONAL,55872
2019,FORD,FUSION,HYBRID SE FWD,38052,ID,RED,GRAY,N,1,PERSONAL,14828
2020,CHEVROLET,MALIBU,LT,17213,AZ,SILVER,GRAY,N,1,PERSONAL,16830
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,37633,TN,GRAY,BLACK,N,1,PERSONAL,12099
2020,TOYOTA,COROLLA,LE CVT,4383,TX,GRAY,GRAY,N,1,PERSONAL,16247
2014,VOLKSWAGEN,PASSAT,TDI SEL PREMIUM SEDAN DSG,25704,CA,SILVER,BLACK,N,1,PERSONAL,12998
2017,TOYOTA,COROLLA,SE CVT,23874,CA,SILVER,BLACK,N,2,FLEET,12200
2019,NISSAN,ROGUE,SV FWD,37792,FL,BLUE,BLACK,N,1,PERSONAL,15498
2019,KIA,OPTIMA,LX,32576,NV,SILVER,BLACK,Y,1,PERSONAL,15490
2015,HONDA,ACCORD,TOURING SEDAN V6 AUTOMATIC,83723,CA,BLACK,BLACK,N,2,PERSONAL,13999
1997,FORD,THUNDERBIRD,LX COUPE,159205,IN,RED,GRAY,N,3,PERSONAL,1800
2008,BMW,X3,3.0SI AWD,124581,CA,SILVER,UNKNOWN,N,2,PERSONAL,6995
2019,KIA,SOUL,#NAME?,26161,NC,WHITE,BLACK,N,2,PERSONAL,15388
2020,TOYOTA,COROLLA,LE CVT,30876,TX,BLACK,BLACK,N,1,FLEET,15802
