year,make,model,trim,odometer,state,colorexterior,colorinterior,accidenthist,owner,usage,price
2017,MERCEDES-BENZ,CCLASS,C 300 WITH SPORT PACKAGE SEDAN RWD,19991,CA,GRAY,BLACK,N,1,PERSONAL,21700
2019,FORD,FIESTA,SE HATCHBACK,28705,FL,WHITE,BLACK,N,1,PERSONAL,8958
2019,KIA,SOUL,#NAME?,24972,FL,WHITE,BLACK,N,1,PERSONAL,13697
2019,DODGE,JOURNEY,GT AWD,20982,NJ,WHITE,BLACK,N,1,PERSONAL,20797
2019,FORD,FUSION,HYBRID SE FWD,25400,TX,WHITE,UNKNOWN,N,1,PERSONAL,14997
2020,CHEVROLET,MALIBU,LT,7466,FL,SILVER,BLACK,N,1,PERSONAL,17995
2020,CHEVROLET,MALIBU,LT,12071,LA,WHITE,BLACK,N,1,FLEET,20302
2019,FORD,FUSION,HYBRID SE FWD,25509,TX,WHITE,UNKNOWN,N,1,PERSONAL,14997
2019,HYUNDAI,ACCENT,SE AUTOMATIC,20467,TX,SILVER,BLACK,N,1,PERSONAL,10999
2019,TOYOTA,4RUNNER,SR5 4WD,29678,KY,SILVER,BLACK,N,1,PERSONAL,29700
2019,NISSAN,ROGUE,SV FWD,17906,TX,BLACK,BLACK,N,1,PERSONAL,18070
2019,FORD,FUSION,HYBRID SE FWD,36159,NV,BLACK,BLACK,N,1,PERSONAL,15800
2019,NISSAN,ROGUE,SV FWD,33523,TN,BLUE,BLACK,N,1,PERSONAL,15049
2015,NISSAN,ALTIMA,2.5 S,118288,GA,BLACK,BLACK,Y,2,FLEET,6988
2019,NISSAN,VERSA,SV SEDAN CVT,15952,OH,BLACK,BLACK,Y,1,FLEET,10994
2019,KIA,SOUL,#NAME?,32501,FL,GRAY,BLACK,N,1,PERSONAL,13197
2019,DODGE,GRAND CARAVAN,SXT,25418,WA,SILVER,BLACK,N,1,PERSONAL,16997
2020,CHEVROLET,SILVERADO 1500,LT DOUBLE CAB STANDARD BED 4WD,4461,GA,BLACK,BLACK,N,1,PERSONAL,32995
2019,TOYOTA,4RUNNER,SR5 4WD,11481,AK,SILVER,UNKNOWN,N,1,PERSONAL,32995
2019,NISSAN,ROGUE,SV FWD,33014,SC,GRAY,BLACK,N,1,FLEET,16995
2019,DODGE,GRAND CARAVAN,SXT,11325,CA,WHITE,BLACK,N,1,FLEET,19927
2017,HYUNDAI,ELANTRA,SPORT 1.6T SEDAN MANUAL,29319,ID,BLUE,BLACK,N,2,PERSONAL,13599
2019,NISSAN,ROGUE,SV FWD,30127,TN,WHITE,BLACK,N,1,PERSONAL,16897
2019,DODGE,GRAND CARAVAN,SXT,30258,AL,WHITE,BLACK,N,1,PERSONAL,16492
2020,CHEVROLET,SILVERADO 1500,LT DOUBLE CAB STANDARD BED 4WD,4912,GA,BLACK,BLACK,N,1,PERSONAL,32995
2019,DODGE,GRAND CARAVAN,SXT,34088,FL,BLACK,BLACK,N,2,PERSONAL,14654
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,32729,FL,SILVER,BLACK,Y,1,PERSONAL,11321
2013,HONDA,CIVIC,LX SEDAN AUTOMATIC,87700,HI,GRAY,GRAY,N,2,PERSONAL,9995
2019,NISSAN,ROGUE,SV FWD,38817,TX,SILVER,BLACK,N,1,PERSONAL,16995
2019,NISSAN,ROGUE,SV FWD,23724,GA,GRAY,BLACK,N,1,PERSONAL,16954
2019,DODGE,GRAND CARAVAN,SXT,41264,CA,WHITE,BLACK,N,1,PERSONAL,17014
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,30670,FL,WHITE,GRAY,N,1,PERSONAL,17250
2019,FORD,FIESTA,SE SEDAN,25648,FL,RED,BLACK,N,1,PERSONAL,8598
2019,NISSAN,ROGUE,SV FWD,18592,CA,BLACK,BLACK,N,1,FLEET,17900
2019,CHRYSLER,300,LIMITED AWD,11000,OK,WHITE,BLACK,N,1,PERSONAL,24981
2019,KIA,OPTIMA,LX,24707,TX,BLACK,BLACK,N,1,FLEET,14800
2015,NISSAN,ALTIMA,2.5 S,82253,FL,WHITE,BEIGE,N,2,PERSONAL,7991
2019,DODGE,GRAND CARAVAN,SXT,28836,IL,WHITE,BLACK,N,1,PERSONAL,17097
2019,NISSAN,ROGUE,SV FWD,26506,CA,WHITE,BLACK,N,1,PERSONAL,15750
2019,DODGE,GRAND CARAVAN,SXT,32658,NV,RED,BLACK,N,1,PERSONAL,17000
2019,NISSAN,SENTRA,SV CVT,17920,VA,WHITE,BLACK,Y,1,FLEET,11650
2019,DODGE,GRAND CARAVAN,SXT,14532,WA,WHITE,BLACK,Y,1,PERSONAL,16995
2019,DODGE,GRAND CARAVAN,SXT,28875,MN,WHITE,BLACK,N,1,PERSONAL,17097
2019,DODGE,CHARGER,R/T RWD,27102,TX,WHITE,BLACK,N,1,PERSONAL,21999
2019,NISSAN,ROGUE,SV FWD,38237,AL,GRAY,BLACK,N,1,PERSONAL,16500
2014,FORD,FOCUS,SE SEDAN,98710,MO,RED,GRAY,Y,2,PERSONAL,5500
