Year,Make,Model,Category
2020,MERCEDES-BENZ,CCLASS,SEDAN
2020,NISSAN,NV3500 HD PASSENGER,VAN/MINIVAN
2020,MERCEDES-BENZ,GLA,SUV
2020,MAZDA,CX9,SUV
2020,NISSAN,NV1500 CARGO,VAN/MINIVAN
2020,MERCEDES-BENZ,ECLASS,SEDAN
2020,MINI,COUNTRYMAN,SUV
2020,MERCEDES-BENZ,GLE,SUV
2020,NISSAN,MAXIMA,SEDAN
2020,NISSAN,370Z,COUPE
2020,MERCEDES-BENZ,GLC,SUV
2020,MITSUBISHI,MIRAGE,HATCHBACK
2020,NISSAN,ALTIMA,SEDAN
2020,NISSAN,GTR,COUPE
2020,MITSUBISHI,OUTLANDER,SUV
2020,MITSUBISHI,OUTLANDER PHEV,SUV
2020,NISSAN,NV3500 HD CARGO,VAN/MINIVAN
2020,PORSCHE,PANAMERA,SEDAN
2020,PORSCHE,TAYCAN,SEDAN
2020,NISSAN,PATHFINDER,SUV
2020,NISSAN,ROGUE,SUV
2020,NISSAN,NV200,VAN/MINIVAN
2020,PORSCHE,911,CONVERTIBLE
2020,NISSAN,ROGUE SPORT,SUV
2020,PORSCHE,MACAN,SUV
2020,PORSCHE,CAYENNE COUPE,SUV
2020,PORSCHE,CAYENNE,SUV
2020,NISSAN,NV2500 HD CARGO,VAN/MINIVAN
2020,RAM,3500 CREW CAB,PICKUP
2020,RAM,1500 CREW CAB,PICKUP
2020,SUBARU,BRZ,COUPE
2020,NISSAN,VERSA,SEDAN
2020,TOYOTA,AVALON,SEDAN
2020,SUBARU,WRX,SEDAN
2020,TOYOTA,CAMRY,SEDAN
2020,SUBARU,IMPREZA,SEDAN
2020,SUBARU,ASCENT,SUV
2020,SUBARU,LEGACY,SEDAN
2020,TOYOTA,COROLLA HATCHBACK,HATCHBACK
2020,SUBARU,CROSSTREK,SUV
2020,TOYOTA,COROLLA,SEDAN
2020,TOYOTA,86,COUPE
2020,SUBARU,FORESTER,SUV
2020,TOYOTA,AVALON HYBRID,SEDAN
2020,RAM,2500 CREW CAB,PICKUP
2020,TOYOTA,4RUNNER,SUV
2020,SUBARU,OUTBACK,SUV
2020,TOYOTA,CHR,SUV
2020,TOYOTA,CAMRY HYBRID,SEDAN
2020,TOYOTA,COROLLA HYBRID,SEDAN
2020,TOYOTA,GR SUPRA,COUPE
2020,TOYOTA,HIGHLANDER,SUV
2020,TOYOTA,PRIUS,HATCHBACK
2020,TOYOTA,PRIUS PRIME,HATCHBACK
2020,TOYOTA,RAV4,SUV
2020,TOYOTA,TACOMA ACCESS CAB,PICKUP
2020,TOYOTA,SIENNA,VAN/MINIVAN
2020,TOYOTA,LAND CRUISER,SUV
2020,TOYOTA,YARIS,SEDAN
2020,TOYOTA,RAV4 HYBRID,SUV
2020,TOYOTA,HIGHLANDER HYBRID,SUV
2020,TOYOTA,SEQUOIA,SUV
2020,TOYOTA,TUNDRA DOUBLE CAB,PICKUP
2020,TOYOTA,TACOMA DOUBLE CAB,PICKUP
2020,TOYOTA,TUNDRA CREWMAX,PICKUP
2020,VOLKSWAGEN,PASSAT,SEDAN
2020,TOYOTA,YARIS HATCHBACK,HATCHBACK
2019,ACURA,MDX SPORT HYBRID,SUV
2019,ACURA,RLX SPORT HYBRID,SEDAN
2019,AUDI,A6,SEDAN
2020,VOLVO,XC40,SUV
2019,AUDI,Q5,SUV
2019,AUDI,A4,SEDAN
2019,AUDI,Q7,SUV
2019,AUDI,Q8,SUV
2019,AUDI,RS 5,SEDAN
2019,ACURA,MDX,SUV
2019,ACURA,NSX,COUPE
2019,AUDI,A7,SEDAN
2019,ALFA ROMEO,4C SPIDER,CONVERTIBLE
2020,VOLVO,XC60,SUV
2019,ACURA,RDX,SUV
2020,VOLKSWAGEN,TIGUAN,SUV
2020,VOLVO,XC90,SUV1992
2019,AUDI,A8,SEDAN
2019,BMW,4 SERIES,SEDAN
2019,ACURA,TLX,SEDAN
2019,ACURA,ILX,SEDAN
2019,BMW,2 SERIES,COUPE
2019,AUDI,A3,SEDAN
2019,AUDI,S5,SEDAN
2019,AUDI,A4 ALLROAD,WAGON
2019,AUDI,ETRON,SUV
2020,VOLKSWAGEN,JETTA,SEDAN
2019,AUDI,Q3,SUV
2019,AUDI,RS 3,SEDAN
2019,ALFA ROMEO,STELVIO,SUV
2019,ALFA ROMEO,GIULIA,SEDAN
2019,AUDI,A5,SEDAN
