Make,TotalSales,PercentSales
ACURA,69104.41666666667,0.8766066421183164
ALFA ROMEO,8961.5,0.11367884720359107
AUDI,94885.91666666669,1.2036513555233697
BMW,140176.75000000003,1.778176794593091
BUICK,86634.83333333334,1.0989843197019002
CADILLAC,66640.83333333334,0.8453554773218747
CHEVROLET,921746.583333333,11.692583720044867
CHRYSLER,54383.0,0.6898618253052382
DODGE,167652.66666666666,2.126715603110482
FIAT,3234.0,0.0410240910401622
FORD,1090454.75,13.832688602095642
GENESIS,9309.75,0.11809648471278601
GMC,267556.1666666667,3.3940162460390058
HONDA,657212.4166666665,8.336902292535045
HYUNDAI,327650.58333333343,4.156328806440606
INFINITI,51462.00000000001,0.652808216793082
JAGUAR,14169.749999999998,0.17974678850226905
JEEP,436321.00000000006,5.534839958792396
KIA,314464.75000000006,3.9890632445645786
LAND ROVER,44330.66666666667,0.5623454870761957
LEXUS,131645.66666666666,1.669957889417495
LINCOLN,56184.24999999999,0.7127111277128115
MAZDA,152081.49999999997,1.9291914970700141
MERCEDES-BENZ,174114.08333333334,2.2086802739768254
MINI,13537.75,0.17172971196009762
MITSUBISHI,57847.41666666666,0.7338088088347337
NISSAN,495696.08333333343,6.28802759768661
PORSCHE,29307.666666666664,0.3717750109796104
RAM,326753.24999999994,4.144945910843808
SMART,50.416666666666664,0.0006395479045376758
SUBARU,325453.0833333333,4.128452974634557
TESLA,105860.41666666666,1.342865606333592
TOYOTA,960740.1666666666,12.1872269830779
VOLKSWAGEN,175274.8333333334,2.2234046752368353
VOLVO,52273.916666666664,0.6631075808160745
