vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
1FTFW1EFXBFB59782,FORD,F150,NOT LISTED,16999.0,SAN DIEGO,CA,WHITE,UNKNOWN,N,0,PERSONAL,N,PICKUP,10.0,49,13.832688602095642,71.61538461538461,8.8,22.0,N,AWD,9.0,37.053
3D7LX39C96G271737,DODGE,RAM 3500,EXCELLENT PRICE,17995.0,SPOKANE,WA,WHITE,GRAY,N,1,PERSONAL,Y,PICKUP,25.0,39,2.126715603110482,98.53846153846152,7.9,28.5,U,AWD,11.547138900174604,146.56620378416707
2C4RDGCG2KR734855,DODGE,GRAND CARAVAN,GREAT PRICE,20800.0,YUMA,AZ,SILVER,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,29,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,13.654
4JGDF6EE7HA884253,MERCEDES-BENZ,GLS,GREAT PRICE,34643.531376481704,MACON,GA,WHITE,BEIGE,N,2,PERSONAL,Y,SUV,22.0,10,2.208680273976825,57.92307692307693,8.4,19.0,Y,FWD,3.0,33.321
5TDJZRFH2HS372167,TOYOTA,HIGHLANDER,GREAT PRICE,26999.0,LAWRENCEBURG,KY,BLACK,BLACK,N,1,PERSONAL,Y,SUV,5.0,19,12.1872269830779,43.230769230769226,7.9,22.0,N,AWD,3.0,41.575
4T1BF3EKXBU708752,TOYOTA,CAMRY,EXCELLENT PRICE,6900.0,FLORENCE,KY,WHITE,UNKNOWN,N,2,PERSONAL,Y,SEDAN,5.0,19,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,9.0,120.399
1HGCR2F31HA238379,HONDA,ACCORD,GREAT PRICE,15429.0,MARYSVILLE,OH,SILVER,GRAY,N,1,PERSONAL,Y,SEDAN,18.0,15,8.336902292535045,48.69230769230769,8.1,34.0,N,FWD,3.0,47.863
55SWF4JB4HU213206,MERCEDES-BENZ,CCLASS,EXCELLENT PRICE,22990.0,PORTLAND,OR,GRAY,UNKNOWN,N,1,PERSONAL,Y,SEDAN,22.0,48,2.208680273976825,57.92307692307693,7.9,28.5,Y,AWD,3.0,31.142
2C4RC1BG5ER402687,CHRYSLER,TOWN & COUNTRY,EXCELLENT PRICE,7670.0,PLANTATION,FL,GRAY,BEIGE,N,2,PERSONAL,Y,VAN/MINIVAN,31.0,27,0.6898618253052382,94.76923076923076,7.9,28.5,U,FWD,6.0,97.137
3N1CN7AP4KL850466,NISSAN,VERSA,EXCELLENT PRICE,11277.0,SURPRISE,AZ,GRAY,BLACK,N,1,FLEET,Y,SEDAN,16.0,29,6.28802759768661,76.23076923076924,6.9,35.0,N,FWD,1.0,30.815
4T1BE32K06U744060,TOYOTA,CAMRY,EXCELLENT PRICE,4995.0,TEMPE,AZ,SILVER,GRAY,Y,2,PERSONAL,Y,SEDAN,5.0,29,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,11.547138900174604,114.527
3N1AB7AP4KY247973,NISSAN,SENTRA,EXCELLENT PRICE,13152.0,EAST PROVIDENCE,RI,GRAY,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,42,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,8.188
2C4RDGCG4KR693161,DODGE,GRAND CARAVAN,GREAT PRICE,16672.0,MADERA,CA,GRAY,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,49,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,32.433
1C4RJFAG3EC470337,JEEP,GRAND CHEROKEE,EXCELLENT PRICE,13499.0,YOUNGSVILLE,NC,BLACK,BLACK,N,1,PERSONAL,Y,SUV,26.0,22,5.534839958792396,74.23076923076924,8.1,22.5,N,AWD,6.0,108.045
KNDJP3A5XK7630520,KIA,SOUL,FAIR PRICE,13895.0,FAYETTEVILLE,NC,BLUE,BLACK,N,1,PERSONAL,Y,WAGON,14.0,22,3.9890632445645786,73.38461538461539,8.5,28.5,N,FWD,1.0,18.571
2FMDK3KC4BBA96538,FORD,EDGE,EXCELLENT PRICE,7500.0,SAN ANTONIO,TX,SILVER,BLACK,N,2,FLEET,N,SUV,10.0,14,13.832688602095642,71.61538461538461,7.9,25.5,N,FWD,9.0,117.857
2C4RDGCG7KR672420,DODGE,GRAND CARAVAN,FAIR PRICE,16750.0,MEMPHIS,TN,WHITE,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,11,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,35.405
5NPDH4AE6DH292564,HYUNDAI,ELANTRA,GREAT PRICE,7997.0,OLATHE,KS,SILVER,GRAY,Y,1,PERSONAL,Y,SEDAN,13.0,2,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,7.0,76.813
WDDSJ4EB1JN568064,MERCEDES-BENZ,CLA,EXCELLENT PRICE,22988.0,ESCONDIDO,CA,RED,BLACK,N,1,PERSONAL,Y,SEDAN,22.0,49,2.208680273976825,57.92307692307693,7.9,28.5,Y,FWD,2.0,22.833
1FATP8UH9K5159859,FORD,MUSTANG,GREAT PRICE,24995.0,KENNESAW,GA,GRAY,BLACK,N,1,PERSONAL,Y,COUPE,10.0,10,13.832688602095642,71.61538461538461,8.3,26.0,Y,FWD,1.0,22.505
1FA6P8JZ7K5552270,FORD,MUSTANG,EXCELLENT PRICE,34643.531376481704,MARTINSVILLE,IN,WHITE,UNKNOWN,N,1,PERSONAL,Y,COUPE,10.0,7,13.832688602095642,71.61538461538461,8.3,26.0,Y,FWD,1.0,0.23
3N1AB7AP6FY219016,NISSAN,SENTRA,EXCELLENT PRICE,6209.0,STUART,FL,BLACK,BLACK,N,2,FLEET,Y,SEDAN,16.0,27,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,5.0,86.813
3N1AB7AP1KL606449,NISSAN,SENTRA,GREAT PRICE,12834.0,NORWOOD,MA,GRAY,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,47,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,34.276
1N4AL3AP6GN339311,NISSAN,ALTIMA,EXCELLENT PRICE,8999.0,CHICAGO,IL,BLACK,BLACK,Y,1,FLEET,Y,SEDAN,16.0,9,6.28802759768661,76.23076923076924,7.7,33.5,N,FWD,4.0,67.151
JTMJFREV5HJ171179,TOYOTA,RAV4,EXCELLENT PRICE,21000.0,CLARKSVILLE,IN,RED,BLACK,N,1,PERSONAL,Y,SUV,5.0,7,12.1872269830779,43.230769230769226,7.9,30.5,N,AWD,3.0,34.49
1MEFM55S65A624844,MERCURY,SABLE,EXCELLENT PRICE,2999.0,CASA GRANDE,AZ,WHITE,GRAY,N,2,PERSONAL,Y,SEDAN,14.0,29,6.28802759768661,74.23076923076924,7.9,28.5,U,FWD,11.547138900174604,136.969
3KPF24AD5KE077776,KIA,FORTE,GREAT PRICE,14990.0,BLUE MOUND,TX,GRAY,BLACK,N,1,PERSONAL,N,SEDAN,14.0,14,3.9890632445645786,73.38461538461539,8.4,36.0,N,FWD,1.0,20.071
JHMFB4F39CS008084,HONDA,CIVIC,NOT LISTED,5432.0,ROUND ROCK,TX,BLACK,UNKNOWN,N,2,PERSONAL,N,SEDAN,18.0,14,8.336902292535045,48.69230769230769,8.2,34.0,N,FWD,8.0,131.364
5UXKR0C54F0K52265,BMW,X5,EXCELLENT PRICE,24998.0,WESTMINSTER,CO,WHITE,BROWN,N,1,PERSONAL,Y,SUV,8.0,33,1.7781767945930906,74.0,7.7,23.0,Y,AWD,5.0,60.515
1C6RR6TT3KS707064,RAM,1500 CLASSIC,EXCELLENT PRICE,26881.0,FREMONT,CA,WHITE,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,49,4.144945910843808,98.15384615384615,7.9,28.5,U,FWD,1.0,13.853
55SWF4JBXHU204834,MERCEDES-BENZ,CCLASS,GREAT PRICE,23558.0,LAS VEGAS,NV,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,22.0,38,2.208680273976825,57.92307692307693,7.9,28.5,Y,AWD,3.0,21.586
3D7KU28D34G171204,DODGE,RAM 2500,NOT LISTED,11900.0,GREENSBURG,IN,SILVER,GRAY,N,2,PERSONAL,N,PICKUP,25.0,7,2.126715603110482,98.53846153846152,7.9,28.5,U,AWD,11.547138900174604,101.994
1HGCR2F30HA161004,HONDA,ACCORD,GREAT PRICE,15995.0,FUQUAY VARINA,NC,GRAY,BLACK,Y,1,PERSONAL,Y,SEDAN,18.0,22,8.336902292535045,48.69230769230769,8.1,34.0,N,FWD,3.0,28.614
4T1B61HK6KU730327,TOYOTA,CAMRY,GREAT PRICE,25994.0,NORMAN,OK,WHITE,BLACK,N,0,PERSONAL,Y,SEDAN,5.0,3,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,5.398
3FA6P0LU5KR210591,FORD,FUSION,GREAT PRICE,14895.0,APEX,NC,SILVER,BLACK,N,1,PERSONAL,Y,SEDAN,10.0,22,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,1.0,30.609
5NPD84LF9KH435302,HYUNDAI,ELANTRA,GREAT PRICE,14949.0,LAWRENCE,KS,BLUE,GRAY,N,1,PERSONAL,Y,SEDAN,13.0,2,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,1.0,22.48
2C4RDGCG5KR635060,DODGE,GRAND CARAVAN,EXCELLENT PRICE,17798.0,OLYMPIA,WA,GRAY,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,39,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,30.803
KNDJT2A59D7767828,KIA,SOUL,EXCELLENT PRICE,5000.0,DENVILLE,NJ,WHITE,BLACK,Y,2,PERSONAL,Y,WAGON,14.0,43,3.9890632445645786,73.38461538461539,8.5,28.5,N,FWD,7.0,132.492
3N1AB7AP8HY205170,NISSAN,SENTRA,EXCELLENT PRICE,10999.0,LAWRENCEBURG,KY,BLACK,BLACK,N,2,PERSONAL,Y,SEDAN,16.0,19,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,3.0,44.909
2C4RDGCG9KR799878,DODGE,GRAND CARAVAN,EXCELLENT PRICE,19974.0,BROOKLYN,NY,GRAY,BLACK,N,1,FLEET,Y,VAN/MINIVAN,25.0,50,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,4.133
3N1AB7AP0KL611755,NISSAN,SENTRA,GREAT PRICE,14490.0,PETALUMA,CA,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,49,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,28.698
4T1B11HK4KU692580,TOYOTA,CAMRY,EXCELLENT PRICE,14750.0,BRONX,NY,WHITE,BLACK,N,2,PERSONAL,Y,SEDAN,5.0,50,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,37.08
4T1B11HK4KU801006,TOYOTA,CAMRY,EXCELLENT PRICE,19655.0,SAN ANTONIO,TX,UNKNOWN,UNKNOWN,N,1,PERSONAL,N,SEDAN,5.0,14,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,24.518
KNDJP3A53K7696651,KIA,SOUL,GREAT PRICE,14424.0,PORT RICHEY,FL,GRAY,BLACK,N,1,PERSONAL,Y,WAGON,14.0,27,3.9890632445645786,73.38461538461539,8.5,28.5,N,FWD,1.0,28.574
3N1AB7AP8KY247393,NISSAN,SENTRA,EXCELLENT PRICE,15888.0,CHEHALIS,WA,GRAY,BLACK,N,1,PERSONAL,Y,SEDAN,16.0,39,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,7.11
3N1CE2CP3FL432177,NISSAN,VERSA,EXCELLENT PRICE,5995.0,SAN DIEGO,CA,WHITE,BLACK,N,2,PERSONAL,Y,SEDAN,16.0,49,6.28802759768661,76.23076923076924,6.9,35.0,N,FWD,5.0,102.84
KNMAT2MT2KP521307,NISSAN,ROGUE,GREAT PRICE,17978.0,NORTH CHARLESTON,SC,BLACK,BLACK,N,1,PERSONAL,Y,SUV,16.0,23,6.28802759768661,76.23076923076924,7.4,29.5,N,FWD,1.0,31.67
KNMAT2MT2KP536079,NISSAN,ROGUE,GREAT PRICE,17996.0,SUMMERVILLE,SC,BLACK,BLACK,N,1,PERSONAL,Y,SUV,16.0,23,6.28802759768661,76.23076923076924,7.4,29.5,N,FWD,1.0,16.654
3FA6P0LU0KR180934,FORD,FUSION,EXCELLENT PRICE,15800.0,RENO,NV,BLACK,BLACK,N,1,PERSONAL,Y,SEDAN,10.0,38,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,1.0,36.159
3N1AB7APXKY267757,NISSAN,SENTRA,GREAT PRICE,13988.0,WICHITA FALLS,TX,WHITE,BLACK,N,1,FLEET,N,SEDAN,16.0,14,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,41.113
2HGFC3A50HH752545,HONDA,CIVIC,EXCELLENT PRICE,19428.0,RIVERHEAD,NY,GRAY,BLACK,N,1,PERSONAL,Y,SEDAN,18.0,50,8.336902292535045,48.69230769230769,8.2,34.0,N,FWD,3.0,13.7
4T1BF1FK4CU198161,TOYOTA,CAMRY,EXCELLENT PRICE,9496.0,PUYALLUP,WA,GRAY,BLACK,Y,2,PERSONAL,Y,SEDAN,5.0,39,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,8.0,95.333
2T2ZK1BAXDC116200,LEXUS,RX,EXCELLENT PRICE,16888.0,HOUSTON,TX,SILVER,GRAY,Y,2,FLEET,N,SUV,2.0,14,1.6699578894174951,54.30769230769231,7.5,25.5,Y,FWD,7.0,84.422
1G1ZD5ST3JF172515,CHEVROLET,MALIBU,EXCELLENT PRICE,13918.0,GLENDALE,AZ,WHITE,BLACK,N,2,FLEET,Y,SEDAN,9.0,29,11.692583720044867,78.23076923076924,7.8,32.5,N,FWD,2.0,27.636
4T1B11HK4KU693308,TOYOTA,CAMRY,EXCELLENT PRICE,17700.0,BOERNE,TX,SILVER,BLACK,N,1,PERSONAL,N,SEDAN,5.0,14,12.1872269830779,43.230769230769226,8.7,35.0,N,FWD,1.0,36.868
3FA6P0LUXKR243666,FORD,FUSION,GREAT PRICE,16659.0,ARUNDEL,ME,WHITE,UNKNOWN,N,1,PERSONAL,Y,SEDAN,10.0,40,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,1.0,29.681
5N1AT2MTXHC863437,NISSAN,ROGUE,EXCELLENT PRICE,17701.0,HEMET,CA,WHITE,BLACK,N,1,PERSONAL,Y,SUV,16.0,49,6.28802759768661,76.23076923076924,7.4,29.5,N,FWD,3.0,18.205
3N1AB7APXKL606739,NISSAN,SENTRA,GREAT PRICE,13920.0,FREMONT,CA,WHITE,BLACK,N,1,FLEET,Y,SEDAN,16.0,49,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,38.498
1G1RD6E47CU117610,CHEVROLET,VOLT,EXCELLENT PRICE,8950.0,CUMMING,GA,WHITE,BEIGE,N,2,PERSONAL,Y,SEDAN,9.0,10,11.692583720044867,78.23076923076924,7.5,40.888782705472316,Y,FWD,8.0,95.977
19XFC2F52HE055715,HONDA,CIVIC,GREAT PRICE,14890.0,CORAL SPRINGS,FL,GRAY,UNKNOWN,N,1,PERSONAL,Y,SEDAN,18.0,27,8.336902292535045,48.69230769230769,8.2,34.0,N,FWD,3.0,11.733
5NPE24AF2GH301439,HYUNDAI,SONATA,EXCELLENT PRICE,9999.0,LITHIA SPRINGS,GA,WHITE,GRAY,N,1,PERSONAL,Y,SEDAN,13.0,10,4.156328806440607,79.07692307692308,8.3,30.5,N,FWD,4.0,60.599
KM8J3CA47KU962561,HYUNDAI,TUCSON,GREAT PRICE,20588.0,OLYMPIA,WA,BLACK,GRAY,N,1,PERSONAL,Y,SUV,13.0,39,4.156328806440607,79.07692307692308,7.9,26.5,N,AWD,1.0,18.715
5UXZV4C50CL746375,BMW,X5,EXCELLENT PRICE,10995.0,PORTLAND,OR,BLACK,BROWN,N,2,PERSONAL,Y,SUV,8.0,48,1.7781767945930906,74.0,7.7,23.0,Y,AWD,8.0,118.103
3N1AB7AP9EY268502,NISSAN,SENTRA,EXCELLENT PRICE,6498.0,SALT LAKE CITY,UT,BLACK,BLACK,N,2,PERSONAL,Y,SEDAN,16.0,26,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,6.0,96.124
5FNRL5H34HB001336,HONDA,ODYSSEY,EXCELLENT PRICE,15498.0,HOPKINS,MN,WHITE,UNKNOWN,N,1,FLEET,Y,VAN/MINIVAN,18.0,30,8.336902292535045,48.69230769230769,8.4,23.5,N,FWD,3.0,123.86
JTDEPRAE3LJ046114,TOYOTA,COROLLA,EXCELLENT PRICE,14942.0,LEE'S SUMMIT,MO,WHITE,GRAY,N,1,PERSONAL,Y,SEDAN,5.0,6,12.1872269830779,43.230769230769226,7.9,32.0,N,FWD,0.0,36.826
5N1AT2MT9HC761000,NISSAN,ROGUE,EXCELLENT PRICE,17889.0,BUFORD,GA,WHITE,BEIGE,N,1,PERSONAL,Y,SUV,16.0,10,6.28802759768661,76.23076923076924,7.4,29.5,N,FWD,3.0,32.655
1C6RR7TT8KS646154,RAM,1500 CLASSIC,EXCELLENT PRICE,28500.0,HAVRE,MT,WHITE,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,37,4.144945910843808,98.15384615384615,7.9,28.5,U,AWD,1.0,17.816
1FTPX14514KC07139,FORD,F150,EXCELLENT PRICE,8177.0,DUBLIN,OH,WHITE,UNKNOWN,N,2,PERSONAL,Y,PICKUP,10.0,15,13.832688602095642,71.61538461538461,8.8,22.0,N,AWD,11.547138900174604,99.548
NM0LS7AN5CT084696,FORD,TRANSIT CONNECT VAN,NOT LISTED,9800.0,FRESNO,CA,WHITE,GRAY,N,1,PERSONAL,N,VAN/MINIVAN,10.0,49,13.832688602095642,71.61538461538461,7.9,28.5,U,FWD,8.0,37.495
JTDEPRAE2LJ077399,TOYOTA,COROLLA,GREAT PRICE,15495.0,HOLIDAY,FL,SILVER,GRAY,N,1,PERSONAL,Y,SEDAN,5.0,27,12.1872269830779,43.230769230769226,7.9,32.0,N,FWD,0.0,1.161
JHLRE38707C045835,HONDA,CRV,EXCELLENT PRICE,5495.0,ABINGDON,MD,BLUE,UNKNOWN,N,1,PERSONAL,Y,SUV,18.0,45,8.336902292535045,48.69230769230769,8.5,29.0,N,FWD,11.547138900174604,146.56620378416707
2C4RDGCG5KR542670,DODGE,GRAND CARAVAN,GREAT PRICE,19500.0,CHEHALIS,WA,WHITE,BLACK,N,1,PERSONAL,Y,VAN/MINIVAN,25.0,39,2.126715603110482,98.53846153846152,6.8,21.0,N,FWD,1.0,37.951
3FA6P0HD7ER390668,FORD,FUSION,EXCELLENT PRICE,8990.0,GREENSBORO,NC,BLACK,BLACK,Y,2,PERSONAL,Y,SEDAN,10.0,22,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,6.0,85.596
1HGCR2F86HA096932,HONDA,ACCORD,GREAT PRICE,16500.0,TULSA,OK,GRAY,GRAY,N,1,PERSONAL,Y,SEDAN,18.0,3,8.336902292535045,48.69230769230769,8.1,34.0,N,FWD,3.0,78.949
3C4PDDEG5KT795116,DODGE,JOURNEY,FAIR PRICE,22999.0,BRANFORD,CT,WHITE,RED,N,1,PERSONAL,N,SUV,25.0,44,2.126715603110482,98.53846153846152,5.5,22.0,N,AWD,1.0,12.555
1C6RR7FT7ES423555,RAM,1500,EXCELLENT PRICE,12995.0,VERNON,CT,RED,GRAY,Y,2,PERSONAL,Y,PICKUP,19.0,44,4.144945910843808,98.15384615384615,8.7,22.5,N,AWD,6.0,127.559
1N4BL4CV5KC196622,NISSAN,ALTIMA,EXCELLENT PRICE,18173.0,HOUSTON,TX,WHITE,BLACK,N,1,PERSONAL,N,SEDAN,16.0,14,6.28802759768661,76.23076923076924,7.7,33.5,N,FWD,1.0,24.827
KNDJP3A52K7676391,KIA,SOUL,GREAT PRICE,14234.0,GONZALES,LA,WHITE,BLACK,N,1,PERSONAL,Y,WAGON,14.0,18,3.9890632445645786,73.38461538461539,8.5,28.5,N,FWD,1.0,31.235
1FMCU9G99FUB32682,FORD,ESCAPE,NOT LISTED,5490.0,SALT LAKE CITY,UT,WHITE,GRAY,N,2,FLEET,N,SUV,10.0,26,13.832688602095642,71.61538461538461,8.3,25.0,N,AWD,5.0,146.56620378416707
1GNSKHKC5KR403826,CHEVROLET,SUBURBAN,FAIR PRICE,34643.531376481704,SOUTHERN PINES,NC,BLACK,BLACK,N,1,PERSONAL,Y,SUV,9.0,22,11.692583720044867,78.23076923076924,7.6,18.5,N,AWD,1.0,32.445
1C6RR6TT8KS571837,RAM,1500 CLASSIC,EXCELLENT PRICE,25300.0,FORT SMITH,AR,SILVER,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,5,4.144945910843808,98.15384615384615,7.9,28.5,U,FWD,1.0,28.469
3VWC57BUXKM143946,VOLKSWAGEN,JETTA,EXCELLENT PRICE,12998.0,PENSACOLA,FL,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,6.0,27,2.223404675236836,58.769230769230774,7.7,35.0,N,FWD,1.0,39.629
KM8J23A44KU887031,HYUNDAI,TUCSON,GREAT PRICE,16000.0,HOUSTON,TX,SILVER,GRAY,N,1,PERSONAL,N,SUV,13.0,14,4.156328806440607,79.07692307692308,7.9,26.5,N,FWD,1.0,39.76
3N1AB7AP4KY357762,NISSAN,SENTRA,GREAT PRICE,15137.0,DUBLIN,OH,BLACK,BLACK,Y,1,PERSONAL,Y,SEDAN,16.0,15,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,8.01
2C3CCAEG4KH555813,CHRYSLER,300,EXCELLENT PRICE,19411.0,FONTANA,CA,WHITE,BLACK,N,1,FLEET,Y,SEDAN,31.0,49,0.6898618253052382,94.76923076923076,8.0,20.5,N,AWD,1.0,31.455
1GNSKHKC3KR177334,CHEVROLET,SUBURBAN,GREAT PRICE,34643.531376481704,VACAVILLE,CA,BLACK,BLACK,N,1,PERSONAL,Y,SUV,9.0,49,11.692583720044867,78.23076923076924,7.6,18.5,N,AWD,1.0,33.832
JTJBT20XX30006303,LEXUS,GX,EXCELLENT PRICE,7500.0,EL MONTE,CA,WHITE,UNKNOWN,Y,2,PERSONAL,Y,SUV,2.0,49,1.6699578894174951,54.30769230769231,7.2,16.5,Y,FWD,11.547138900174604,146.56620378416707
1C6RR7TT6KS576167,RAM,1500 CLASSIC,EXCELLENT PRICE,28988.0,ENGLEWOOD,CO,WHITE,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,33,4.144945910843808,98.15384615384615,7.9,28.5,U,AWD,1.0,27.599
3FA6P0CD3KR150262,FORD,FUSION,EXCELLENT PRICE,16489.0,MOBILE,AL,SILVER,GRAY,N,1,PERSONAL,Y,SEDAN,10.0,8,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,1.0,32.06
3GKALVEV9LL117696,GMC,TERRAIN,GREAT PRICE,25995.0,MOUNTAIN HOME,ID,WHITE,BLACK,N,1,PERSONAL,Y,SUV,28.0,20,3.3940162460390058,72.07692307692308,7.8,28.0,N,AWD,0.0,16.779
JTHKD5BH8E2174566,LEXUS,CT,EXCELLENT PRICE,11582.0,TAMPA,FL,GRAY,BLACK,N,2,PERSONAL,Y,HATCHBACK,2.0,27,1.6699578894174951,54.30769230769231,7.5,25.5,Y,FWD,6.0,65.774
3FA6P0CD4KR150951,FORD,FUSION,GREAT PRICE,15995.0,MELBOURNE,FL,SILVER,UNKNOWN,N,1,PERSONAL,Y,SEDAN,10.0,27,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,1.0,41.628
JN8AY2ND5K9089331,NISSAN,ARMADA,EXCELLENT PRICE,32050.0,STAFFORD,TX,BLACK,BLACK,N,1,PERSONAL,N,SUV,16.0,14,6.28802759768661,76.23076923076924,7.4,16.5,N,AWD,1.0,36.706
WDBSK71FX7F126077,MERCEDES-BENZ,SL,EXCELLENT PRICE,12800.0,PICAYUNE,MS,BLACK,BLACK,N,2,PERSONAL,Y,CONVERTIBLE,22.0,1,2.208680273976825,57.92307692307693,8.4,19.0,Y,FWD,11.547138900174604,108.35
2C3CCABGXKH569090,CHRYSLER,300,EXCELLENT PRICE,21348.0,FORT SMITH,AR,WHITE,BLACK,N,1,PERSONAL,Y,SEDAN,31.0,5,0.6898618253052382,94.76923076923076,8.0,20.5,N,AWD,1.0,32.459
3C6UR5DJ0KG697179,RAM,2500,GREAT PRICE,34643.531376481704,LIMA,OH,RED,BLACK,N,1,PERSONAL,Y,PICKUP,19.0,15,4.144945910843808,98.15384615384615,8.7,22.5,N,AWD,1.0,16.187
JTEBU5JR5K5612980,TOYOTA,4RUNNER,GREAT PRICE,31998.0,CEDAR PARK,TX,WHITE,UNKNOWN,N,1,PERSONAL,N,SUV,5.0,14,12.1872269830779,43.230769230769226,7.5,19.0,N,AWD,1.0,34.372
3N1AB7AP3KY367067,NISSAN,SENTRA,EXCELLENT PRICE,13198.0,ARLINGTON,TX,GRAY,BLACK,Y,1,PERSONAL,N,SEDAN,16.0,14,6.28802759768661,76.23076923076924,7.2,33.0,N,FWD,1.0,28.879
5NMS2CAD4KH123468,HYUNDAI,SANTA FE,FAIR PRICE,18989.0,COLORADO SPRINGS,CO,SILVER,UNKNOWN,N,1,PERSONAL,Y,SUV,13.0,33,4.156328806440607,79.07692307692308,8.5,25.5,N,AWD,1.0,23.765
5NMS2CAD7KH087792,HYUNDAI,SANTA FE,FAIR PRICE,18989.0,COLORADO SPRINGS,CO,WHITE,UNKNOWN,N,1,PERSONAL,Y,SUV,13.0,33,4.156328806440607,79.07692307692308,8.5,25.5,N,AWD,1.0,30.13
JN8AY2NE0K9758369,NISSAN,ARMADA,EXCELLENT PRICE,34643.531376481704,CHICAGO,IL,WHITE,BLACK,N,1,PERSONAL,Y,SUV,16.0,9,6.28802759768661,76.23076923076924,7.4,16.5,N,AWD,1.0,3.401
1GAZGPFP1K1163505,CHEVROLET,EXPRESS PASSENGER,GREAT PRICE,19490.0,ORLANDO,FL,WHITE,GRAY,N,1,PERSONAL,Y,VAN/MINIVAN,9.0,27,11.692583720044867,78.23076923076924,7.9,28.5,U,FWD,1.0,36.346
5GZER23D49J130388,SATURN,OUTLOOK,NOT LISTED,3998.0,NEWARK,CA,BLACK,BLACK,N,2,PERSONAL,N,SUV,14.0,49,6.28802759768661,74.23076923076924,7.9,28.5,U,FWD,11.0,138.142
JM3KFBDL7H0121148,MAZDA,CX5,EXCELLENT PRICE,16995.0,PELHAM,AL,RED,BEIGE,Y,1,PERSONAL,Y,SUV,11.0,8,1.9291914970700141,60.07692307692307,8.1,28.0,N,AWD,3.0,103.825
19XFC2F78HE035230,HONDA,CIVIC,EXCELLENT PRICE,14512.0,CLARKSVILLE,TN,BLUE,UNKNOWN,N,1,PERSONAL,Y,SEDAN,18.0,11,8.336902292535045,48.69230769230769,8.2,34.0,N,FWD,3.0,70.233
JHMCR6F33HC005063,HONDA,ACCORD,GREAT PRICE,17999.0,BOWLING GREEN,KY,BLACK,BEIGE,Y,2,PERSONAL,Y,SEDAN,18.0,19,8.336902292535045,48.69230769230769,8.1,34.0,N,FWD,3.0,37.862
JN8AZ18U49W031306,NISSAN,MURANO,EXCELLENT PRICE,5948.0,VANCOUVER,WA,SILVER,UNKNOWN,N,2,PERSONAL,Y,SUV,16.0,39,6.28802759768661,76.23076923076924,7.8,24.0,N,FWD,11.0,140.229
